#IncidentId;#DateId;_catLMC;_catLMC1;_catLMC2;dtgStartIncident;nrIncident;plaatsNaam;wk_prioriteitIncidentBrandweer;straatnaam;naamLocatie2;postcode;huisPaalNr;_catDagdeel;_catRegio;_lat;_lon
714361616;20110603;Brand;Natuur;NULL;2011-06-03 20:50:45.0000000;107100;Rucphen;1;PIERESTRAAT;POSTHOORN DE;4715RP;14;Avond;VRMWB;" 51.5262630000000000";"  4.5472789999999996"
889697663;20170612;Brand;Natuur;Bos;2017-06-12 21:47:55.0000000;142225;Roosendaal;1;Molenbeekpad;NULL;NULL;NULL;Avond;VRMWB;" 51.5048040000000000";"  4.4522490000000001"
1756028316;20260205;Brand;Natuur;Riet;2026-02-05 19:21:08.0000000;51726;Breda;2;Waterweegbree;NULL;NULL;NULL;Avond;VRMWB;" 51.6179506212550690";"  4.7285709801032327"
712624397;20110416;Brand;Natuur;NULL;2011-04-16 17:05:51.0000000;71671;Wouw;1;LANDEWEEL;NULL;NULL;NULL;Middag;VRMWB;" 51.5218530000000000";"  4.3962930000000000"
1015369018;20200520;Brand;Natuur;NULL;2020-05-20 13:52:56.0000000;120091;Wouwse Plantage;1;Schouwenbaan;NULL;NULL;NULL;Middag;VRMWB;" 51.4603809999999980";"  4.3926949999999998"
839652325;20150710;Brand;Natuur;NULL;2015-07-10 17:22:24.0000000;152980;Wouwse Plantage;1;Vlierbesstraat;NULL;NULL;NULL;Middag;VRMWB;" 51.4821919999999980";"  4.3867330000000004"
712881651;20110423;Brand;Natuur;NULL;2011-04-23 12:09:19.0000000;76874;Breda;1;OVERASEWEG;NULL;NULL;NULL;Middag;VRMWB;" 51.5439909999999980";"  4.7460519999999997"
1013034640;20200421;Brand;Natuur;NULL;2020-04-21 08:31:32.0000000;94288;Breda;1;Bieberglaan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5584460000000040";"  4.7869029999999997"
1014544432;20200510;Brand;Natuur;NULL;2020-05-10 10:02:13.0000000;111518;Breda;1;Eeuwiglaantje;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5581719999999990";"  4.7722550000000004"
1476211699;20210608;Brand;Natuur;Bos;2021-06-08 21:59:37.0000000;182273;Breda;1;Heistraat;Oude Postbaan;NULL;NULL;Avond;VRMWB;" 51.5403178296364360";"  4.7503384327064886"
1515853154;20220319;Brand;Natuur;Bos;2022-03-19 16:41:01.0000000;92119;Breda;1;Torendreef Mastbos;NULL;NULL;NULL;Middag;VRMWB;" 51.5592774004039850";"  4.7623879627200445"
1535459049;20220718;Brand;Natuur;Bos;2022-07-18 17:10:12.0000000;250497;Breda;1;Lange Bunderpad;NULL;NULL;NULL;Middag;VRMWB;" 51.6305333774132360";"  4.7510355361984828"
1546014726;20220727;Brand;Natuur;Bos;2022-07-27 16:50:28.0000000;263918;Breda;1;Bredestraat;NULL;NULL;NULL;Middag;VRMWB;" 51.6286805726804590";"  4.7345099823476273"
1525308452;20220428;Brand;Natuur;Bos;2022-04-28 18:45:48.0000000;141922;Breda;1;Lange Bunderpad;NULL;NULL;NULL;Avond;VRMWB;" 51.6308070062195270";"  4.7567513451454611"
862028395;20160528;Brand;Natuur;NULL;2016-05-28 14:51:14.0000000;122259;Breda;1;Bouvignedreef;MASTBOS SPEELBOS;NULL;NULL;Middag;VRMWB;" 51.5607809999999990";"  4.7794449999999999"
1547711235;20220810;Brand;Natuur;Bos;2022-08-10 12:55:44.0000000;282048;Halsteren;1;Schansbaan;NULL;NULL;NULL;Middag;VRMWB;" 51.5263776919363680";"  4.3027357924605374"
1548037845;20220812;Brand;Natuur;Bos;2022-08-12 19:22:37.0000000;285519;Halsteren;1;Ernst Casimirweg;NULL;NULL;NULL;Avond;VRMWB;" 51.5172595157941520";"  4.2918157388316622"
889346644;20170608;Brand;Natuur;NULL;2017-06-08 15:49:33.0000000;137533;Halsteren;1;Schansbaan;NULL;NULL;NULL;Middag;VRMWB;" 51.5331520000000010";"  4.2924590000000000"
889740565;20170613;Brand;Natuur;NULL;2017-06-13 13:41:14.0000000;142756;Halsteren;1;Schansbaan;NULL;NULL;NULL;Middag;VRMWB;" 51.5282619999999980";"  4.3050139999999999"
1712533677;20250504;Brand;Natuur;NULL;2025-05-04 11:49:07.0000000;171730;Hank;1;Vissershang;NULL;NULL;NULL;Ochtend;VRMWB;" 51.7279603440687130";"  4.8592370135181380"
1524216947;20220419;Brand;Natuur;Heide;2022-04-19 20:00:38.0000000;130635;Hilvarenbeek;1;Gorp;NULL;NULL;NULL;Avond;VRMWB;" 51.4942820420846910";"  5.0744220615711564"
952423930;20180716;Brand;Natuur;NULL;2018-07-16 20:19:48.0000000;176478;Hoeven;1;Bovenstraat;NULL;4741SK;83;Avond;VRMWB;" 51.5622049999999990";"  4.5591179999999998"
1529439601;20220602;Brand;Natuur;Bos;2022-06-02 17:03:56.0000000;185972;Hoogerheide;1;Dennenlaan;NULL;NULL;NULL;Middag;VRMWB;" 51.4162135859661900";"  4.3282005584694359"
711832989;20110325;Brand;Natuur;NULL;2011-03-25 10:45:57.0000000;55450;Huijbergen;1;MOERKANTSEBAAN;NULL;NULL;NULL;Ochtend;VRMWB;" 51.4542399999999990";"  4.3757210000000004"
837877879;20150614;Brand;Natuur;NULL;2015-06-14 16:25:06.0000000;129949;Huijbergen;1;Staartsestraat;Wolf De;4635RC;55;Middag;VRMWB;" 51.4253319999999970";"  4.3842280000000002"
712631518;20110416;Brand;Natuur;NULL;2011-04-16 21:04:23.0000000;71831;Kaatsheuvel;1;WAALWIJKSEBAAN;NULL;NULL;NULL;Avond;VRMWB;" 51.6535280000000010";"  5.0713609999999996"
1432638358;20200807;Brand;Natuur;Bos;2020-08-07 10:51:52.0000000;274795;Kaatsheuvel;1;Roestelbergseweg;NULL;NULL;NULL;Ochtend;VRMWB;" 51.6548900000000020";"  5.0868570000000002"
1431809775;20200730;Brand;Natuur;Bos;2020-07-30 21:43:22.0000000;265053;Kaatsheuvel;1;Roestelbergseweg;NULL;NULL;NULL;Avond;VRMWB;" 51.6518599999999990";"  5.0900710000000000"
1591999714;20230227;Brand;Natuur;Heide;2023-02-27 16:23:50.0000000;69776;Kaatsheuvel;1;Roestelbergseweg;NULL;NULL;NULL;Middag;VRMWB;" 51.6516911011189560";"  5.0811968262047857"
819507384;20140904;Brand;Natuur;Bos;2014-09-04 16:19:54.0000000;186138;Kaatsheuvel;1;Eftelingsestraat;Villa Pardoes;5171RP;3;Middag;VRMWB;" 51.6460250000000020";"  5.0528329999999997"
833130219;20150331;Brand;Natuur;NULL;2015-03-31 16:09:25.0000000;69627;Kaatsheuvel;1;Waalwijksebaan;IJsbaan Kaatsheuvel;NULL;NULL;Middag;VRMWB;" 51.6535280000000010";"  5.0714189999999997"
1720632329;20250625;Brand;Natuur;Bos;2025-06-25 00:06:04.0000000;250419;Kaatsheuvel;1;Kinkenpolder;NULL;NULL;NULL;Nacht;VRMWB;" 51.6479511227596570";"  5.0421382170648066"
1710126174;20250418;Brand;Natuur;NULL;2025-04-18 13:49:15.0000000;148262;Klundert;1;Schapenweg;NULL;NULL;NULL;Middag;VRMWB;" 51.6737897955791110";"  4.5362554878666597"
1730214951;20250825;Brand;Natuur;Akker/Weide;2025-08-25 12:20:56.0000000;344034;Lage Zwaluwe;1;Korte Landekensweg;NULL;4926PN;2;Middag;VRMWB;" 51.6843076790737040";"  4.6885615770469489"
976758402;20190421;Brand;Natuur;Bos;2019-04-21 10:58:11.0000000;91756;Alphen;1;Oude Gilzerbaan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.4988409999999990";"  4.9437439999999997"
1615943225;20230815;Brand;Natuur;Bos;2023-08-15 16:22:51.0000000;293929;Alphen;1;Chaamseweg;NULL;NULL;NULL;Middag;VRMWB;" 51.4957942270701920";"  4.9058112417766466"
1015174907;20200517;Brand;Natuur;NULL;2020-05-17 23:24:09.0000000;117903;Baarle-Nassau;1;Oude Bredasebaan;NULL;NULL;NULL;Avond;VRMWB;" 51.4562379999999990";"  4.9060309999999996"
1548174210;20220813;Brand;Natuur;Bos;2022-08-13 16:47:05.0000000;286898;Baarle-Nassau;1;Oude Bredasebaan;NULL;NULL;NULL;Middag;VRMWB;" 51.4548369298631130";"  4.9091215654908691"
1550648404;20220902;Brand;Natuur;Bos;2022-09-02 10:18:42.0000000;313318;Tilburg;1;De Siptenpad;NULL;5032VE;12;Ochtend;VRMWB;" 51.5499933552218220";"  5.0074726802866012"
1535164057;20220716;Brand;Natuur;Bos;2022-07-16 15:04:52.0000000;247072;Tilburg;1;Heidebaan;NULL;NULL;NULL;Middag;VRMWB;" 51.5396650010142490";"  4.9937788597757571"
1534916901;20220714;Brand;Natuur;Bos;2022-07-14 17:51:13.0000000;244385;Roosendaal;1;Laagveldsestraat;NULL;NULL;NULL;Middag;VRMWB;" 51.5258496119460080";"  4.5012706121942694"
784164068;20130714;Brand;Natuur;NULL;2013-07-14 10:22:38.0000000;138816;Rucphen;1;POSTBAAN;OSSEKOPKE HET;4715PM;38;Ochtend;VRMWB;" 51.5171020000000010";"  4.5383420000000001"
977337751;20190429;Brand;Natuur;NULL;2019-04-29 15:43:44.0000000;99064;Rucphen;1;Postbaan;Ossekopke Het;4715PM;38;Middag;VRMWB;" 51.5171020000000010";"  4.5383420000000001"
1012605422;20200415;Brand;Natuur;NULL;2020-04-15 18:27:34.0000000;89642;Rucphen;1;Posthoorn;Keijtenburgstraat;NULL;NULL;Avond;VRMWB;" 51.5290469999999980";"  4.5393299999999996"
1606877109;20230615;Brand;Natuur;Akker/Weide;2023-06-15 16:31:06.0000000;208880;Rucphen;1;Gastelsebaan;NULL;4715TB;11;Middag;VRMWB;" 51.5473646706405900";"  4.5332324552252548"
