date,count
2020-04-21,True
2020-04-22,True
2020-04-24,True
2020-04-27,True
2020-04-29,True
2020-05-03,True
2020-05-04,True
2020-05-08,True
2020-05-09,True
2020-05-10,True
2020-05-17,True
2020-05-18,True
2020-05-19,True
2020-05-20,True
2020-05-21,True
2020-05-30,True
2020-06-04,True
2020-07-30,True
2020-08-04,True
2020-08-07,True
2020-08-08,True
2020-08-13,True
2020-08-17,True
2020-09-01,True
2020-09-03,True
2020-09-07,True
2020-09-12,True
2020-09-13,True
2020-09-14,True
2020-09-24,True
2020-10-28,True
2020-11-29,True
2020-12-20,True
2021-03-27,True
2021-03-28,True
2021-03-29,True
2021-03-31,True
2021-04-17,True
2021-04-22,True
2021-04-25,True
2021-04-26,True
2021-04-27,True
2021-05-01,True
2021-05-02,True
2021-05-29,True
2021-05-30,True
2021-06-08,True
2021-06-13,True
2021-06-14,True
2021-06-15,True
2021-06-17,True
2021-07-21,True
2021-07-22,True
2021-08-02,True
2021-08-03,True
2021-08-19,True
2021-08-30,True
2022-03-03,True
2022-03-04,True
2022-03-09,True
2022-03-17,True
2022-03-19,True
2022-03-27,True
2022-03-28,True
2022-04-14,True
2022-04-19,True
2022-04-21,True
2022-04-24,True
2022-04-28,True
2022-04-29,True
2022-05-01,True
2022-05-02,True
2022-05-04,True
2022-05-05,True
2022-05-10,True
2022-05-11,True
2022-05-15,True
2022-05-16,True
2022-05-18,True
2022-06-02,True
2022-07-05,True
2022-07-10,True
2022-07-11,True
2022-07-14,True
2022-07-16,True
2022-07-18,True
2022-07-23,True
2022-07-27,True
2022-07-29,True
2022-08-06,True
2022-08-09,True
2022-08-10,True
2022-08-11,True
2022-08-12,True
2022-08-13,True
2022-08-14,True
2022-08-16,True
2022-08-23,True
2022-08-28,True
2022-08-29,True
2022-08-31,True
2022-09-02,True
2022-09-06,True
2022-10-16,True
2022-10-23,True
2023-01-07,True
2023-02-27,True
2023-03-04,True
2023-04-08,True
2023-04-17,True
2023-04-20,True
2023-06-01,True
2023-06-02,True
2023-06-03,True
2023-06-04,True
2023-06-08,True
2023-06-09,True
2023-06-10,True
2023-06-11,True
2023-06-12,True
2023-06-13,True
2023-06-14,True
2023-06-15,True
2023-06-17,True
2023-06-20,True
2023-07-05,True
2023-07-08,True
2023-07-11,True
2023-07-14,True
2023-07-17,True
2023-07-19,True
2023-08-15,True
2023-09-30,True
2023-10-12,True
2023-11-10,True
2024-04-14,True
2024-06-04,True
2024-07-29,True
2024-08-07,True
2024-08-11,True
2024-10-19,True
2025-03-07,True
2025-03-11,True
2025-03-24,True
2025-03-25,True
2025-03-31,True
2025-04-01,True
2025-04-02,True
2025-04-03,True
2025-04-04,True
2025-04-06,True
2025-04-07,True
2025-04-08,True
2025-04-12,True
2025-04-13,True
2025-04-18,True
2025-04-19,True
2025-04-22,True
2025-04-23,True
2025-04-24,True
2025-04-29,True
2025-05-01,True
2025-05-03,True
2025-05-04,True
2025-05-12,True
2025-05-13,True
2025-05-14,True
2025-05-16,True
2025-05-17,True
2025-05-18,True
2025-05-19,True
2025-05-21,True
2025-05-22,True
2025-05-23,True
2025-06-13,True
2025-06-16,True
2025-06-18,True
2025-06-20,True
2025-06-21,True
2025-06-22,True
2025-06-25,True
2025-06-29,True
2025-06-30,True
2025-07-01,True
2025-07-05,True
2025-07-14,True
2025-07-24,True
2025-07-30,True
2025-08-10,True
2025-08-12,True
2025-08-13,True
2025-08-17,True
2025-08-23,True
2025-08-25,True
2025-08-26,True
2025-08-27,True
2025-09-29,True
2025-10-01,True
2025-10-02,True
2025-10-15,True
2025-10-17,True
2025-10-19,True
2025-11-16,True
